session_id,customer_id,session_start,device_type,traffic_source,experiment_group,session_duration_sec,completed_order,order_value
CS0000351,C005861,2026-03-02 04:05:46,Desktop,Organic Search,control,263,1,9054
CS0000352,C007261,2026-03-02 04:06:57,Android,Direct,control,142,0,
CS0000353,C023661,2026-03-02 04:07:31,Desktop,Paid Social,control,122,1,19206
CS0000354,C020420,2026-03-02 04:13:37,Desktop,Direct,treatment,222,1,3274
CS0000355,C016936,2026-03-02 04:13:48,iOS,App,treatment,204,1,11284
CS0000356,C009440,2026-03-02 04:17:46,Android,Direct,control,170,1,5930
CS0000357,C005777,2026-03-02 04:21:15,Desktop,Organic Search,control,99,0,
CS0000358,C013591,2026-03-02 04:22:41,iOS,Paid Social,treatment,472,0,
CS0000359,C018400,2026-03-02 04:23:00,Desktop,App,control,73,1,6777
CS0000360,C016889,2026-03-02 04:24:57,Android,App,treatment,309,1,6234
CS0000361,,2026-03-02 04:25:56,Android,Direct,control,225,1,6368
CS0000362,C000298,2026-03-02 04:27:19,Android,App,treatment,250,1,8671
CS0000363,C018454,2026-03-02 04:33:01,Desktop,Direct,treatment,325,1,15596
CS0000364,,2026-03-02 04:33:58,Desktop,Direct,treatment,2,0,
CS0000365,,2026-03-02 04:38:36,Android,Organic Search,control,179,1,1165
CS0000366,C007809,2026-03-02 04:38:57,Desktop,App,control,165,0,
CS0000367,C018337,2026-03-02 04:43:26,Android,Direct,treatment,280,0,
CS0000368,,2026-03-02 04:44:43,Android,App,control,204,0,
CS0000369,C007502,2026-03-02 04:44:47,Android,Referral,treatment,232,1,7624
CS0000370,C005630,2026-03-02 04:46:31,Desktop,Referral,control,199,1,9476
CS0000371,C028483,2026-03-02 04:48:27,Desktop,App,treatment,213,1,1317
CS0000372,C005112,2026-03-02 04:49:10,Android,Paid Social,control,101,1,3129
CS0000373,C014271,2026-03-02 04:53:49,Android,Referral,treatment,212,0,
CS0000374,C028798,2026-03-02 04:54:35,iOS,Paid Social,treatment,527,1,3179
CS0000375,C017176,2026-03-02 04:58:07,Android,Organic Search,control,212,1,4428
CS0000376,C022273,2026-03-02 05:08:02,Desktop,Paid Social,control,464,0,
CS0000377,C026846,2026-03-02 05:15:01,Android,Paid Social,treatment,360,1,1214
CS0000378,C018215,2026-03-02 05:18:13,Android,App,control,38,1,5270
CS0000379,,2026-03-02 05:18:38,Desktop,Direct,CONTROL ,2,0,
CS0000380,C003071,2026-03-02 05:32:42,Desktop,App,control,337,1,1357
CS0000381,C005232,2026-03-02 05:35:28,iOS,App,control,98,1,3165
CS0000382,C025464,2026-03-02 05:42:19,Android,App,treatment,97,0,
CS0000383,C023663,2026-03-02 05:46:59,Desktop,Referral,treatment,95,1,7535
CS0000384,,2026-03-02 05:51:30,iOS,Paid Social,treatment,144,1,4754
CS0000385,,2026-03-02 05:56:02,Android,Organic Search,control,201,1,3378
CS0000386,C013614,2026-03-02 05:56:09,iOS,App,treatment,135,1,4307
CS0000387,C014115,2026-03-02 06:03:15,Android,App,treatment,145,0,
CS0000388,C009796,2026-03-02 06:09:53,Android,App,control,454,1,3806
CS0000389,C019198,2026-03-02 06:23:08,Android,Direct,control,302,1,6405
CS0000390,C009216,2026-03-02 06:25:36,Android,Direct,treatment,469,1,4284
CS0000391,C017686,2026-03-02 06:29:18,Android,App,treatment,138,0,
CS0000392,,2026-03-02 06:34:49,Desktop,Direct,treatment,1,0,
CS0000393,,2026-03-02 06:39:49,Desktop,Paid Social,control,177,0,
CS0000394,C002418,2026-03-02 07:03:19,Desktop,App,treatment,195,1,3345
CS0000395,C007309,2026-03-02 07:10:50,Android,Organic Search,control,263,0,
CS0000396,C023871,2026-03-02 07:18:08,Android,App,treatment,217,0,
CS0000397,C026913,2026-03-02 07:30:49,Android,App,treatment,268,1,3339
CS0000398,C029084,2026-03-02 07:37:04,iOS,Paid Social,treatment,37,0,
CS0000399,,2026-03-02 07:38:22,Desktop,Direct,Treatment,1,0,
CS0000400,C003790,2026-03-02 07:38:39,iOS,Organic Search,treatment,170,1,6762
CS0000401,C021030,2026-03-02 07:39:31,Android,Organic Search,treatment,238,0,
CS0000402,C013100,2026-03-02 07:39:54,Android,Paid Social,control,150,0,
CS0000403,C021943,2026-03-02 07:40:15,Android,Organic Search,Control,190,1,4674
CS0000404,C000938,2026-03-02 07:48:04,Desktop,App,treatment,205,0,
CS0000405,C018258,2026-03-02 07:57:10,Desktop,Paid Social,treatment,299,1,13258
CS0000406,C010676,2026-03-02 08:00:59,Android,Paid Social,control,333,0,
CS0000407,,2026-03-02 08:04:50,iOS,App,control,150,1,2616
CS0000408,C024642,2026-03-02 08:05:34,Android,Direct,treatment,210,1,6676
CS0000409,C017260,2026-03-02 08:05:36,iOS,App,treatment,109,0,
CS0000410,C022895,2026-03-02 08:07:56,Android,Organic Search,control,139,0,
CS0000411,C008183,2026-03-02 08:08:35,Android,App,control,397,1,1131
CS0000412,C023551,2026-03-02 08:14:58,Android,Paid Social,treatment,146,1,4523
CS0000413,C019291,2026-03-02 08:15:00,Android,App,control,222,0,
CS0000414,C026259,2026-03-02 08:20:20,Android,Organic Search,treatment,92,1,3257
CS0000415,C002144,2026-03-02 08:20:35,Android,Direct,control,148,0,
CS0000416,C002341,2026-03-02 08:30:06,Android,App,treatment,182,1,9274
CS0000417,C011984,2026-03-02 08:33:27,Android,Organic Search,control,96,1,1666
CS0000418,,2026-03-02 08:41:45,iOS,Organic Search,treatment,99,1,1594
CS0000419,C016968,2026-03-02 08:47:17,Android,Paid Social,treatment,69,0,
CS0000420,C028355,2026-03-02 08:48:45,Desktop,Organic Search,control,58,1,3492
CS0000421,C010764,2026-03-02 08:51:17,Android,Paid Social,control,118,1,4067
CS0000422,,2026-03-02 08:52:04,Desktop,Referral,treatment,234,1,5194
CS0000423,C010648,2026-03-02 08:52:12,iOS,Organic Search,control,380,1,9327
CS0000424,,2026-03-02 08:55:19,Android,Paid Social,control,391,0,
CS0000425,,2026-03-02 08:57:35,Android,Referral,treatment,101,1,8374
CS0000426,,2026-03-02 08:58:49,Android,App,control,198,1,2652
CS0000427,C024933,2026-03-02 09:00:40,Android,Organic Search,treatment,88,0,
CS0000428,C000339,2026-03-02 09:00:59,Android,App,treatment,198,1,2879
CS0000429,,2026-03-02 09:02:39,Android,Paid Social,treatment,125,1,1635
CS0000430,C007417,2026-03-02 09:05:00,Desktop,Paid Social,treatment,262,1,16683
CS0000431,C002276,2026-03-02 09:05:48,Desktop,Organic Search,CONTROL ,208,1,1980
CS0000432,C006039,2026-03-02 09:07:20,Android,Paid Social,treatment,191,0,
CS0000433,C023706,2026-03-02 09:07:53,iOS,Paid Social,control,298,0,
CS0000434,C018508,2026-03-02 09:09:04,Android,Direct,treatment,144,0,
CS0000435,,2026-03-02 09:11:20,Desktop,Direct,treatment,0,0,
CS0000436,C013099,2026-03-02 09:11:31,Android,Paid Social,control,330,0,
CS0000437,C023137,2026-03-02 09:13:30,Android,Paid Social,control,173,1,3469
CS0000438,,2026-03-02 09:14:08,Desktop,Direct,control,342,1,6261
CS0000439,,2026-03-02 09:14:48,Android,Organic Search,control,83,1,6405
CS0000440,C002903,2026-03-02 09:14:56,iOS,Organic Search,treatment,236,1,898
CS0000441,C001041,2026-03-02 09:15:44,Android,App,control,37,1,2456
CS0000442,,2026-03-02 09:16:01,Android,Direct,control,198,1,3062
CS0000443,C022876,2026-03-02 09:19:36,Desktop,App,treatment,176,0,
CS0000444,,2026-03-02 09:21:37,Desktop,Referral,treatment,113,1,6428
CS0000445,C028427,2026-03-02 09:24:24,iOS,Paid Social,treatment,254,0,
CS0000446,C020336,2026-03-02 09:32:22,Android,Paid Social,treatment,242,0,
CS0000447,C012254,2026-03-02 09:33:22,Android,App,treatment,204,1,7549
CS0000448,C025416,2026-03-02 09:35:52,Android,Paid Social,control,171,0,
CS0000449,C009587,2026-03-02 09:42:22,Desktop,Organic Search,treatment,556,1,9124
CS0000450,C005929,2026-03-02 09:43:11,iOS,Organic Search,treatment,821,1,2902
CS0000451,,2026-03-02 09:44:01,Android,Organic Search,treatment,85,1,3291
CS0000452,C020438,2026-03-02 09:44:27,iOS,Paid Social,control,108,0,
CS0000453,C006398,2026-03-02 09:44:59,Android,Direct,control,254,1,1289
CS0000454,C020338,2026-03-02 09:46:55,Android,App,treatment,394,1,5638
CS0000455,C006470,2026-03-02 09:50:48,Android,Organic Search,treatment,58,1,2055
CS0000456,C022781,2026-03-02 09:51:31,Android,Organic Search,control,133,0,
CS0000457,,2026-03-02 09:51:32,Android,App,control,170,1,6544
CS0000458,C012323,2026-03-02 09:52:24,Android,App,control,163,1,18400
CS0000459,C020430,2026-03-02 09:56:52,Android,App,control,217,0,
CS0000460,,2026-03-02 09:57:13,Desktop,App,treatment,154,0,
CS0000461,C007760,2026-03-02 09:58:38,Android,Paid Social,control,86,0,
CS0000462,C016804,2026-03-02 09:59:16,Android,Paid Social,control,439,1,5667
CS0000463,C015392,2026-03-02 10:00:36,Android,Referral,treatment,252,1,2025
CS0000464,C000007,2026-03-02 10:01:15,iOS,Paid Social,control,175,1,1999
CS0000465,,2026-03-02 10:02:34,Android,App,control,143,1,3590
CS0000466,,2026-03-02 10:02:55,Android,Referral,treatment,192,0,
CS0000467,,2026-03-02 10:05:45,Android,Paid Social,treatment,203,1,10195
CS0000468,C019684,2026-03-02 10:07:28,Desktop,App,treatment,221,1,2299
CS0000469,C024647,2026-03-02 10:07:29,Desktop,Direct,control,193,1,2335
CS0000470,C011016,2026-03-02 10:09:02,Android,App,control,136,1,10240
CS0000471,C023040,2026-03-02 10:11:44,Desktop,App,control,431,1,1914
CS0000472,C020451,2026-03-02 10:11:55,Android,App,control,630,1,6852
CS0000473,C027101,2026-03-02 10:12:08,Android,App,treatment,375,0,
CS0000474,,2026-03-02 10:12:50,Desktop,App,treatment,180,1,4496
CS0000475,C003300,2026-03-02 10:13:26,iOS,App,treatment,158,0,
CS0000476,C023705,2026-03-02 10:13:56,Desktop,Referral,treatment,262,1,14035
CS0000477,,2026-03-02 10:16:06,Android,Organic Search,treatment,149,1,1527
CS0000478,C019276,2026-03-02 10:17:17,Desktop,App,control,104,1,9555
CS0000479,C018900,2026-03-02 10:17:22,iOS,Paid Social,treatment,58,0,
CS0000480,C020701,2026-03-02 10:20:27,Android,Direct,TREATMENT ,61,1,3675
CS0000481,C013836,2026-03-02 10:24:51,Android,Paid Social,treatment,176,0,
CS0000482,C004595,2026-03-02 10:25:02,iOS,Paid Social,control,87,1,11369
CS0000483,C019745,2026-03-02 10:27:21,Android,Organic Search,control,481,1,11156
CS0000484,,2026-03-02 10:27:28,Android,Organic Search,control,197,1,2678
CS0000485,C000464,2026-03-02 10:27:52,iOS,Direct,treatment,135,1,2326
CS0000486,C015430,2026-03-02 10:28:32,Android,Organic Search,treatment,105,1,2526
CS0000487,C001224,2026-03-02 10:29:29,Desktop,Paid Social,control,386,0,
CS0000488,C018007,2026-03-02 10:31:07,Android,Direct,treatment,110,1,8450
CS0000489,C024631,2026-03-02 10:31:36,Desktop,Paid Social,control,208,0,
CS0000490,C000647,2026-03-02 10:32:32,Android,App,control,309,1,5157
CS0000491,C003437,2026-03-02 10:35:09,Android,Organic Search,treatment,40,1,3939
CS0000492,,2026-03-02 10:35:13,Android,Referral,control,232,1,4926
CS0000493,C003795,2026-03-02 10:37:54,Desktop,Direct,control,171,0,
CS0000494,,2026-03-02 10:38:09,Desktop,App,control,377,1,5333
CS0000495,C021592,2026-03-02 10:40:11,Android,App,control,94,1,2617
CS0000496,C005595,2026-03-02 10:44:48,iOS,Paid Social,control,339,1,5933
CS0000497,,2026-03-02 10:47:35,Android,App,treatment,63,0,
CS0000498,C025398,2026-03-02 10:50:49,Android,App,treatment,286,0,
CS0000499,C029153,2026-03-02 10:52:07,Desktop,App,treatment,385,1,7376
CS0000500,C016236,2026-03-02 10:52:53,Android,Paid Social,treatment,82,1,4918
CS0000501,C022178,2026-03-02 10:53:49,Android,Paid Social,control,116,0,
CS0000502,C019907,2026-03-02 10:56:44,Android,Paid Social,treatment,228,1,7132
CS0000503,C026049,2026-03-02 10:57:09,Android,App,treatment,233,1,4012
CS0000504,C001492,2026-03-02 10:59:15,Desktop,App,treatment,128,1,10138
CS0000505,C013687,2026-03-02 11:02:07,iOS,Paid Social,treatment,134,1,11664
CS0000506,C028686,2026-03-02 11:03:53,Android,App,control,188,0,
CS0000507,C010735,2026-03-02 11:03:57,Android,Paid Social,treatment,102,1,8844
CS0000508,C023886,2026-03-02 11:05:40,Android,Paid Social,control,93,1,6958
CS0000509,C015581,2026-03-02 11:07:27,Android,Organic Search,control,194,0,
CS0000510,C005102,2026-03-02 11:08:50,Desktop,Paid Social,control,66,0,
CS0000511,C002681,2026-03-02 11:10:08,iOS,Direct,control,491,1,7842
CS0000512,C001488,2026-03-02 11:10:52,Desktop,App,treatment,184,1,2115
CS0000513,C021682,2026-03-02 11:11:17,Desktop,App,treatment,18,0,
CS0000514,C004662,2026-03-02 11:11:42,Android,Organic Search,control,182,0,
CS0000515,,2026-03-02 11:14:03,Desktop,App,control,164,1,5264
CS0000516,C023948,2026-03-02 11:16:37,Desktop,Organic Search,treatment,292,1,2801
CS0000517,,2026-03-02 11:18:39,Android,App,treatment,139,0,
CS0000518,C002839,2026-03-02 11:21:56,Android,Paid Social,control,483,1,3917
CS0000519,,2026-03-02 11:22:15,Android,Referral,treatment,100,1,10386
CS0000520,C013999,2026-03-02 11:22:48,Android,App,treatment,234,1,11036
CS0000521,C006169,2026-03-02 11:23:54,Android,Organic Search,treatment,594,0,
CS0000522,C027264,2026-03-02 11:24:34,Desktop,App,treatment,53,1,4999
CS0000523,,2026-03-02 11:26:40,Desktop,Paid Social,control,144,1,1906
CS0000524,,2026-03-02 11:26:49,Desktop,Organic Search,control,207,1,4752
CS0000525,C014885,2026-03-02 11:27:22,Android,App,TREATMENT ,50,1,2691
CS0000526,,2026-03-02 11:27:29,Android,App,control,98,1,4077
CS0000527,C020882,2026-03-02 11:28:25,Desktop,Organic Search,treatment,463,0,
CS0000528,C023564,2026-03-02 11:29:20,Android,App,treatment,70,1,8014
CS0000529,C003113,2026-03-02 11:30:10,Desktop,Paid Social,control,193,0,
CS0000530,C005235,2026-03-02 11:30:25,Android,App,treatment,92,0,
CS0000531,C000836,2026-03-02 11:30:26,Desktop,Organic Search,control,152,1,3842
CS0000532,,2026-03-02 11:31:02,Android,Organic Search,treatment,86,0,
CS0000533,,2026-03-02 11:32:00,Android,Direct,treatment,325,0,
CS0000534,,2026-03-02 11:33:54,Android,Paid Social,treatment,132,1,2325
CS0000535,C011800,2026-03-02 11:34:39,Desktop,Organic Search,treatment,65,1,9209
CS0000536,C025487,2026-03-02 11:35:27,Android,App,treatment,269,0,
CS0000537,C027693,2026-03-02 11:36:21,Android,App,treatment,182,1,1548
CS0000538,C011967,2026-03-02 11:38:17,Android,Organic Search,control,227,1,17615
CS0000539,C001777,2026-03-02 11:38:27,Desktop,Direct,control,185,0,
CS0000540,C012295,2026-03-02 11:38:39,Android,Paid Social,treatment,104,0,
CS0000541,C027744,2026-03-02 11:40:16,iOS,Direct,control,178,1,12120
CS0000542,C026662,2026-03-02 11:40:17,Android,Direct,control,213,0,
CS0000543,C015004,2026-03-02 11:42:06,Desktop,Direct,treatment,71,1,1926
CS0000544,C003121,2026-03-02 11:44:51,Android,Organic Search,treatment,269,1,9182
CS0000545,C005492,2026-03-02 11:46:30,Android,Paid Social,treatment,71,0,
CS0000546,C012474,2026-03-02 11:46:57,Desktop,Organic Search,control,112,1,4325
CS0000547,C029209,2026-03-02 11:47:06,Desktop,Paid Social,control,77,0,
CS0000548,C021192,2026-03-02 11:47:39,Android,App,control,210,0,
CS0000549,,2026-03-02 11:50:02,Android,Direct,treatment,102,0,
CS0000550,C014989,2026-03-02 11:53:46,Android,Paid Social,control,106,0,
CS0000551,C022661,2026-03-02 11:54:10,Desktop,Direct,treatment,74,1,10232
CS0000552,C026345,2026-03-02 11:55:03,Android,Paid Social,control,166,1,2523
CS0000553,,2026-03-02 11:55:17,Android,Direct,treatment,1108,0,
CS0000554,C024486,2026-03-02 11:56:44,Desktop,Organic Search,control,383,1,7642
CS0000555,C020544,2026-03-02 11:57:13,Android,App,treatment,142,0,
CS0000556,C007198,2026-03-02 11:59:06,Android,Direct,treatment,149,1,11632
CS0000557,,2026-03-02 12:01:49,Desktop,App,control,67,0,
CS0000558,C003832,2026-03-02 12:02:36,Android,App,treatment,145,0,
CS0000559,C008736,2026-03-02 12:04:54,Desktop,Direct,control,41,1,5656
CS0000560,,2026-03-02 12:04:59,Android,Referral,treatment,58,0,
CS0000561,C003882,2026-03-02 12:05:57,Android,Paid Social,control,134,1,13278
CS0000562,C015602,2026-03-02 12:06:19,Android,Referral,treatment,190,0,
CS0000563,C024931,2026-03-02 12:06:22,Android,App,control,261,1,10367
CS0000564,C029017,2026-03-02 12:06:38,Android,Direct,control,165,1,10393
CS0000565,C001775,2026-03-02 12:07:36,Desktop,App,Treatment,383,0,
CS0000566,C015347,2026-03-02 12:08:23,Android,Organic Search,treatment,258,1,4767
CS0000567,,2026-03-02 12:08:27,Desktop,Direct,treatment,0,0,
CS0000568,C019727,2026-03-02 12:09:28,iOS,App,control,160,1,3549
CS0000569,C020349,2026-03-02 12:09:41,iOS,Direct,control,80,1,18059
CS0000570,C000227,2026-03-02 12:10:12,Android,Organic Search,control,332,0,
CS0000571,,2026-03-02 12:13:12,Desktop,Organic Search,control,104,0,
CS0000572,C021152,2026-03-02 12:13:27,Android,Direct,treatment,116,1,1813
CS0000573,C012250,2026-03-02 12:14:46,Android,Organic Search,treatment,315,1,1789
CS0000574,C001511,2026-03-02 12:15:36,iOS,App,treatment,77,0,
CS0000574,C001511,2026-03-02 12:15:36,iOS,App,treatment,77,0,
CS0000575,C026846,2026-03-02 12:15:39,iOS,Organic Search,treatment,111,1,13455
CS0000576,C025001,2026-03-02 12:16:19,Desktop,Organic Search,treatment,190,0,
CS0000576,C025001,2026-03-02 12:16:19,Desktop,Organic Search,treatment,190,0,
CS0000577,C012323,2026-03-02 12:18:51,iOS,Referral,treatment,85,0,
CS0000578,C011348,2026-03-02 12:19:03,Desktop,Direct,treatment,188,1,2511
CS0000579,C009805,2026-03-02 12:22:02,Desktop,Direct,treatment,87,1,3313
CS0000580,,2026-03-02 12:22:15,Android,Organic Search,treatment,161,1,1738
CS0000581,C004251,2026-03-02 12:22:59,Android,Direct,treatment,264,1,7473
CS0000582,C013479,2026-03-02 12:24:27,Android,Direct,treatment,150,1,4663
CS0000583,,2026-03-02 12:25:27,Desktop,Referral,treatment,103,0,
CS0000584,C006272,2026-03-02 12:27:17,iOS,App,CONTROL ,409,1,4055
CS0000585,C026084,2026-03-02 12:27:25,Android,Direct,control,173,1,7378
CS0000586,C024216,2026-03-02 12:28:27,Desktop,Referral,CONTROL ,184,0,
CS0000586,C024216,2026-03-02 12:28:27,Desktop,Referral,CONTROL ,184,0,
CS0000587,C015137,2026-03-02 12:30:20,Android,Paid Social,treatment,363,0,
CS0000588,C006110,2026-03-02 12:30:32,Android,App,control,138,1,3430
CS0000589,C027571,2026-03-02 12:31:46,Android,Direct,control,223,0,
CS0000590,C001610,2026-03-02 12:33:24,Android,Direct,control,290,0,
CS0000591,C017128,2026-03-02 12:33:42,Android,Referral,treatment,243,0,
CS0000592,C015202,2026-03-02 12:33:58,iOS,Organic Search,control,266,1,1790
CS0000593,C021072,2026-03-02 12:33:58,Desktop,Paid Social,TREATMENT ,310,1,4957
CS0000594,C006529,2026-03-02 12:34:58,iOS,App,control,175,0,
CS0000595,C004027,2026-03-02 12:36:31,Desktop,Direct,CONTROL ,326,1,3150
CS0000596,,2026-03-02 12:36:53,Android,App,treatment,234,1,2001
CS0000597,C011293,2026-03-02 12:38:06,Android,App,control,227,1,4971
CS0000598,C011352,2026-03-02 12:40:08,Desktop,Paid Social,control,103,0,
CS0000599,C010849,2026-03-02 12:40:27,Android,Paid Social,treatment,96,1,3289
CS0000600,C024209,2026-03-02 12:40:43,Desktop,App,control,123,1,4432
CS0000601,,2026-03-02 12:41:43,Android,Paid Social,control,161,1,6640
CS0000602,C010279,2026-03-02 12:41:57,Android,Direct,control,163,1,5750
CS0000603,,2026-03-02 12:43:03,Android,Paid Social,treatment,156,0,
CS0000604,C004796,2026-03-02 12:43:17,iOS,Organic Search,treatment,89,1,9382
CS0000605,C004016,2026-03-02 12:45:34,iOS,Paid Social,control,201,0,
CS0000606,C001350,2026-03-02 12:45:47,Android,Direct,treatment,227,1,5524
CS0000607,C006566,2026-03-02 12:48:05,Android,App,control,398,1,9995
CS0000608,C019008,2026-03-02 12:49:26,Android,Paid Social,control,135,1,1416
CS0000609,C018415,2026-03-02 12:49:43,Android,Organic Search,control,119,0,
CS0000610,C013890,2026-03-02 12:52:01,iOS,Paid Social,treatment,65,0,
CS0000611,C025388,2026-03-02 12:54:11,Desktop,App,treatment,109,1,10916
CS0000612,C003898,2026-03-02 12:55:34,Android,Referral,treatment,74,1,2604
CS0000613,C016477,2026-03-02 12:56:02,Android,Referral,treatment,40,0,
CS0000614,C020037,2026-03-02 12:56:19,Android,Paid Social,treatment,109,0,
CS0000615,,2026-03-02 12:56:26,iOS,Referral,control,74,1,766
CS0000616,C006805,2026-03-02 12:57:44,Android,Direct,treatment,73,1,4069
CS0000617,C008605,2026-03-02 12:58:22,Android,Organic Search,treatment,207,1,2751
CS0000618,,2026-03-02 12:58:28,Android,App,control,180,1,5651
CS0000619,C004305,2026-03-02 12:58:38,Desktop,Organic Search,treatment,111,1,3507
CS0000620,C007336,2026-03-02 13:03:05,Android,App,treatment,130,1,13522
CS0000621,,2026-03-02 13:06:04,Desktop,App,treatment,94,1,3918
CS0000622,,2026-03-02 13:06:29,Desktop,Organic Search,Control,71,1,5720
CS0000623,C025252,2026-03-02 13:06:37,Android,Paid Social,treatment,185,1,3049
CS0000624,C008953,2026-03-02 13:12:52,Desktop,Direct,control,238,1,6591
CS0000625,C009517,2026-03-02 13:13:54,Android,App,treatment,137,0,
CS0000626,,2026-03-02 13:14:11,Android,Paid Social,control,123,1,7430
CS0000627,C011015,2026-03-02 13:15:12,Android,App,control,391,0,
CS0000628,C028884,2026-03-02 13:18:06,Android,Paid Social,treatment,121,1,3659
CS0000629,,2026-03-02 13:18:10,Android,Organic Search,treatment,193,1,3187
CS0000630,C018228,2026-03-02 13:20:19,Android,Organic Search,control,282,1,2475
CS0000631,C025975,2026-03-02 13:20:55,Android,App,treatment,185,1,5292
CS0000632,,2026-03-02 13:26:21,Android,Paid Social,treatment,211,0,
CS0000633,C003985,2026-03-02 13:26:33,Android,App,treatment,125,1,5381
CS0000634,C002547,2026-03-02 13:26:37,Android,Direct,control,141,0,
CS0000635,C014946,2026-03-02 13:29:15,iOS,App,treatment,833,0,
CS0000636,C018265,2026-03-02 13:29:28,iOS,Direct,treatment,88,0,
CS0000637,C028524,2026-03-02 13:29:31,Desktop,Direct,control,336,1,3632
CS0000638,,2026-03-02 13:32:22,iOS,App,treatment,134,0,
CS0000639,,2026-03-02 13:34:38,Android,Organic Search,control,275,0,
CS0000640,C021917,2026-03-02 13:36:38,iOS,App,control,129,1,3886
CS0000641,C025774,2026-03-02 13:36:42,Desktop,Referral,treatment,226,1,9482
CS0000642,,2026-03-02 13:38:16,Desktop,Direct,treatment,0,0,
CS0000643,,2026-03-02 13:38:34,Android,App,control,450,0,
CS0000644,,2026-03-02 13:40:05,Android,Organic Search,control,306,1,1840
CS0000645,C026748,2026-03-02 13:40:42,Android,App,treatment,106,0,
CS0000646,C001506,2026-03-02 13:43:30,Android,Organic Search,treatment,635,0,
CS0000647,C005825,2026-03-02 13:46:54,Android,App,treatment,103,1,72601
CS0000648,C022033,2026-03-02 13:50:08,iOS,Paid Social,treatment,175,1,2750
CS0000649,,2026-03-02 13:51:16,Android,Paid Social,control,44,0,
CS0000650,C021993,2026-03-02 13:52:27,Desktop,App,control,327,1,8097
CS0000651,C019815,2026-03-02 13:53:10,iOS,App,control,248,1,11458
CS0000652,,2026-03-02 13:53:19,Desktop,App,control,133,0,
CS0000653,C004904,2026-03-02 13:53:54,Desktop,Organic Search,treatment,152,0,
CS0000654,,2026-03-02 13:54:30,Desktop,Paid Social,control,81,0,
CS0000655,C003711,2026-03-02 13:56:42,Android,App,treatment,483,1,4064
CS0000656,C022080,2026-03-02 13:58:01,Desktop,Direct,control,292,1,1917
CS0000657,,2026-03-02 13:59:52,Android,Direct,treatment,115,0,
CS0000658,C010907,2026-03-02 13:59:58,Desktop,Organic Search,control,433,0,
CS0000659,C021088,2026-03-02 14:00:47,Android,Organic Search,treatment,49,0,
CS0000660,C014275,2026-03-02 14:08:53,iOS,Organic Search,control,155,1,3483
CS0000661,C015664,2026-03-02 14:10:43,Desktop,Organic Search,treatment,532,1,9509
CS0000662,C012294,2026-03-02 14:11:14,Android,App,control,36,1,1630
CS0000663,C009726,2026-03-02 14:11:20,Android,Direct,treatment,258,1,7500
CS0000664,C028339,2026-03-02 14:11:24,Android,App,treatment,135,0,
CS0000665,C016134,2026-03-02 14:12:19,Android,Organic Search,treatment,336,1,2535
CS0000666,C020696,2026-03-02 14:12:57,Android,App,control,139,1,1022
CS0000667,,2026-03-02 14:13:31,Desktop,Paid Social,control,297,1,2502
CS0000668,C020059,2026-03-02 14:13:49,Android,Paid Social,treatment,189,1,1541
CS0000669,,2026-03-02 14:14:09,Android,App,treatment,221,1,7172
CS0000670,C017870,2026-03-02 14:15:37,Android,App,treatment,101,1,3112
CS0000671,,2026-03-02 14:17:33,iOS,Referral,treatment,35,1,3884
CS0000672,,2026-03-02 14:17:46,Desktop,Direct,treatment,393,0,
CS0000673,C007479,2026-03-02 14:18:28,Android,Paid Social,treatment,219,1,6668
CS0000674,C015453,2026-03-02 14:19:05,Android,App,control,155,1,11870
CS0000675,C009899,2026-03-02 14:19:33,Android,Direct,treatment,87,1,4633
CS0000676,C007453,2026-03-02 14:20:00,Desktop,Organic Search,control,58,1,7278
CS0000677,C027168,2026-03-02 14:20:58,Desktop,Organic Search,control,182,1,2058
CS0000678,C005795,2026-03-02 14:21:53,Android,Referral,control,326,1,3122
CS0000679,C004395,2026-03-02 14:22:36,Android,Paid Social,treatment,141,0,
CS0000680,C004168,2026-03-02 14:22:48,Android,Paid Social,treatment,113,1,3796
CS0000681,C004769,2026-03-02 14:23:05,Desktop,App,treatment,120,1,6661
CS0000682,C014706,2026-03-02 14:23:59,Android,App,control,497,0,
CS0000683,C011193,2026-03-02 14:24:19,Android,App,treatment,323,1,3299
CS0000684,C020379,2026-03-02 14:26:33,Android,Paid Social,treatment,417,0,
CS0000685,,2026-03-02 14:29:41,Android,Referral,treatment,129,1,3974
CS0000686,,2026-03-02 14:30:07,Desktop,Direct,Control,2,0,
CS0000687,C004961,2026-03-02 14:35:40,Android,Direct,control,143,1,1360
CS0000688,C024795,2026-03-02 14:37:29,iOS,Referral,treatment,177,1,12772
CS0000689,C010197,2026-03-02 14:37:39,Desktop,Organic Search,treatment,171,1,4578
CS0000690,C017198,2026-03-02 14:38:11,Desktop,Paid Social,control,413,0,
CS0000691,,2026-03-02 14:41:54,Android,App,control,210,0,
CS0000692,C008304,2026-03-02 14:42:02,iOS,Organic Search,control,172,1,2308
CS0000693,C023116,2026-03-02 14:42:55,Android,Organic Search,control,200,0,
CS0000694,,2026-03-02 14:45:08,Android,Direct,control,151,1,7948
CS0000695,C021734,2026-03-02 14:45:52,Desktop,App,treatment,675,1,5020
CS0000696,C025438,2026-03-02 14:47:09,Desktop,Paid Social,control,262,1,1385
CS0000697,C004431,2026-03-02 14:47:56,iOS,App,treatment,151,1,9856
CS0000698,C007794,2026-03-02 14:48:05,Android,Referral,control,207,0,
